intervention,strength_pct,isr_value,tsse_value,genuine_tipping_rate,gtr_ci_lo,gtr_ci_hi,benefit_score,first_death_step,plateau_survivors
A,10,1.8,2.0,1.0,1.0,1.0,0.012231,173.5,10.0
A,20,1.6,2.0,1.0,1.0,1.0,0.024315,177.5,11.0
A,30,1.4,2.0,1.0,1.0,1.0,0.035798,180.5,12.0
A,40,1.2,2.0,1.0,1.0,1.0,0.046348,189.5,12.0
A,50,1.0,2.0,1.0,1.0,1.0,0.059633,195.5,13.0
A,60,0.8,2.0,1.0,1.0,1.0,0.071748,203.5,13.0
A,70,0.6,2.0,0.9667,0.9,1.0,0.103581,215.5,14.0
A,80,0.4,2.0,0.8,0.667,0.933,0.185924,220.5,15.0
A,90,0.2,2.0,0.8333,0.7,0.933,0.190908,237.0,15.0
A,95,0.1,2.0,0.5,0.333,0.667,0.331049,239.0,16.0
A,99,0.02,2.0,0.5,0.333,0.667,0.341869,248.0,16.0
B,10,2.0,1.8,1.0,1.0,1.0,0.012954,176.0,9.5
B,20,2.0,1.6,1.0,1.0,1.0,0.017673,182.0,9.0
B,30,2.0,1.4,1.0,1.0,1.0,0.026032,186.0,9.0
B,40,2.0,1.2,1.0,1.0,1.0,0.033664,192.0,9.5
B,50,2.0,1.0,1.0,1.0,1.0,0.041298,201.5,9.0
B,60,2.0,0.8,1.0,1.0,1.0,0.061286,207.5,11.0
B,70,2.0,0.6,1.0,1.0,1.0,0.072077,216.0,11.0
B,80,2.0,0.4,1.0,1.0,1.0,0.082477,219.0,12.0
B,90,2.0,0.2,1.0,1.0,1.0,0.101898,224.0,13.5
B,95,2.0,0.1,1.0,1.0,1.0,0.1236,227.5,16.0
B,99,2.0,0.02,1.0,1.0,1.0,0.137067,232.0,17.0
C,10,1.8,1.8,1.0,1.0,1.0,0.02092,178.5,10.0
C,20,1.6,1.6,1.0,1.0,1.0,0.045745,196.5,11.0
C,30,1.4,1.4,1.0,1.0,1.0,0.067359,206.0,12.0
C,40,1.2,1.2,1.0,1.0,1.0,0.094261,222.5,13.0
C,50,1.0,1.0,1.0,1.0,1.0,0.128709,243.0,14.0
C,60,0.8,0.8,1.0,1.0,1.0,0.183328,268.0,17.0
C,70,0.6,0.6,0.6,0.433,0.767,0.415621,296.5,22.0
C,80,0.4,0.4,0.1667,0.067,0.3,0.718831,351.0,35.0
C,90,0.2,0.2,0.0,0.0,0.0,0.904484,397.0,54.0
C,95,0.1,0.1,0.0,0.0,0.0,0.938129,421.0,58.0
C,99,0.02,0.02,0.0,0.0,0.0,0.978676,472.5,60.0
