context,isr,tsse,mitFrag,genuine_rate,mean_first_death,mean_plateau,first_death_shift,plateau_gain,genuine_rate_drop,effect_size,cell_state
low,0.5,0.5,0.3,0.533,319.8,29.0,10.2,1.2,0.333,large,mitochondrial_takeover
low,0.5,0.5,0.5,0.2,317.9,27.3,20.0,2.2,0.133,medium,transitional
low,0.5,0.5,1.0,0.533,327.5,27.1,1.7,2.7,0.2,medium,transitional
low,0.5,0.5,1.5,0.2,307.6,26.6,13.9,2.3,-0.067,small,seeding_dominant
low,0.5,0.5,2.0,0.467,301.2,25.4,27.2,2.7,0.067,medium,transitional
low,0.5,0.5,3.0,0.2,288.1,24.5,42.1,4.3,-0.067,medium,transitional
low,0.5,0.5,4.0,0.533,268.2,21.0,64.9,8.1,0.466,large,mitochondrial_takeover
low,0.5,0.5,5.0,0.467,260.6,18.8,67.9,10.8,0.134,large,mitochondrial_takeover
low,0.5,0.5,6.0,0.4,232.6,19.6,92.7,9.9,0.2,large,mitochondrial_takeover
low,0.5,0.5,8.0,0.133,209.0,17.2,121.6,10.7,0.0,large,mitochondrial_takeover
medium,2.0,2.0,0.3,1.0,169.3,9.8,-0.2,-0.8,0.0,small,seeding_dominant
medium,2.0,2.0,0.5,1.0,168.5,9.1,1.4,0.6,0.0,small,seeding_dominant
medium,2.0,2.0,1.0,1.0,168.5,9.5,1.6,0.0,0.0,small,seeding_dominant
medium,2.0,2.0,1.5,1.0,166.6,8.7,2.9,0.8,0.0,small,seeding_dominant
medium,2.0,2.0,2.0,1.0,169.3,8.6,0.8,1.0,0.0,small,seeding_dominant
medium,2.0,2.0,3.0,1.0,161.7,9.5,8.7,0.0,0.0,small,seeding_dominant
medium,2.0,2.0,4.0,1.0,158.9,9.8,8.6,-1.0,0.0,small,seeding_dominant
medium,2.0,2.0,5.0,1.0,155.3,9.0,14.8,0.7,0.0,small,seeding_dominant
medium,2.0,2.0,6.0,1.0,152.9,9.1,16.2,0.1,0.0,small,seeding_dominant
medium,2.0,2.0,8.0,1.0,147.5,9.2,23.5,0.1,0.0,medium,transitional
high,5.0,5.0,0.3,1.0,99.6,5.4,-0.3,-0.4,0.0,small,seeding_dominant
high,5.0,5.0,0.5,1.0,99.5,5.4,0.0,-0.1,0.0,small,seeding_dominant
high,5.0,5.0,1.0,1.0,99.0,5.2,0.2,0.3,0.0,small,seeding_dominant
high,5.0,5.0,1.5,1.0,99.2,5.3,-0.5,-0.2,0.0,small,seeding_dominant
high,5.0,5.0,2.0,1.0,98.9,5.3,0.1,0.2,0.0,small,seeding_dominant
high,5.0,5.0,3.0,1.0,99.1,5.3,-0.3,0.4,0.0,small,seeding_dominant
high,5.0,5.0,4.0,1.0,99.2,5.6,-0.5,0.0,0.0,small,seeding_dominant
high,5.0,5.0,5.0,1.0,98.8,5.5,0.5,-0.2,0.0,small,seeding_dominant
high,5.0,5.0,6.0,1.0,99.0,5.4,0.2,-0.3,0.0,small,seeding_dominant
high,5.0,5.0,8.0,1.0,97.9,5.5,0.6,-0.3,0.0,small,seeding_dominant
