restoration_pct,genuine_tipping_rate,ci_lo,ci_hi,benefit_score,plateau_survivors,functional_survival,mean_atp_before,mean_atp_after_restore,mean_atp_delta,n_irreversible_at_t,n_eligible_neurons
0,1.0,1.0,1.0,0.049,14.8,255.8,0.793,0.793,0.0,0.0,61.0
10,1.0,1.0,1.0,0.047,14.6,256.0,0.793,0.814,0.0207,0.0,61.0
20,1.0,1.0,1.0,0.046,14.6,254.2,0.791,0.832,0.0419,0.0,61.0
30,1.0,1.0,1.0,0.046,14.6,256.8,0.792,0.854,0.0624,0.0,61.0
40,1.0,1.0,1.0,0.047,14.6,256.0,0.791,0.875,0.0836,0.0,61.0
50,1.0,1.0,1.0,0.05,14.4,259.4,0.794,0.897,0.1031,0.0,61.0
60,1.0,1.0,1.0,0.048,14.7,257.7,0.793,0.917,0.1241,0.0,61.0
70,1.0,1.0,1.0,0.05,14.4,261.9,0.796,0.939,0.1426,0.0,61.0
80,1.0,1.0,1.0,0.05,14.8,258.4,0.794,0.959,0.1652,0.0,61.0
90,1.0,1.0,1.0,0.046,14.5,257.3,0.791,0.979,0.1883,0.0,61.0
100,1.0,1.0,1.0,0.047,14.3,255.3,0.791,1.0,0.2088,0.0,61.0
